state,n1_1987,n1_1988,n1_1989,n1_1990,n1_1991,n1_1992,n1_1993,n1_1994,n1_1995,n1_1996,n1_1997,n1_1998,n1_1999,n1_2000,n1_2001,n1_2002,n1_2003,n1_2004,n1_2005,n1_2006,n1_2007,n1_2008,n1_2009,n1_2010,n1_2011,n1_2012,n1_2013,n1_2014,n1_2015,n1_2016,n2_1987,n2_1988,n2_1989,n2_1990,n2_1991,n2_1992,n2_1993,n2_1994,n2_1995,n2_1996,n2_1997,n2_1998,n2_1999,n2_2000,n2_2001,n2_2002,n2_2003,n2_2004,n2_2005,n2_2006,n2_2007,n2_2008,n2_2009,n2_2010,n2_2011,n2_2012,n2_2013,n2_2014,n2_2015,n3_1987,n3_1988,n3_1989,n3_1990,n3_1991,n3_1992,n3_1993,n3_1994,n3_1995,n3_1996,n3_1997,n3_1998,n3_1999,n3_2000,n3_2001,n3_2002,n3_2003,n3_2004,n3_2005,n3_2006,n3_2007,n3_2008,n3_2009,n3_2010,n3_2011,n3_2012,n3_2013,n3_2014,n3_2015
Southeast Region,,,,,,,,,9325.238095,9637.666667,10274.90476,10547.66667,10482.33333,10678.7037,11113.66667,11582.125,12037.225,12564.475,12926.275,13526.5,13784.625,14328.95,14797,15055,15294,15380,14840,15031,15257,15267,,,,,,,,,14502.88686,14558.89637,15173.37758,15337.27798,14912.91236,14698.22483,14873.67551,15259.36921,15505.58129,15764.92415,15687.38823,15902.82962,15757.49469,15774.07069,16347.48574,16364.10342,16115.20456,15877.25054,15098.63314,15048.84144,15257,,,,,,,,,8584.848456,8618.002762,8981.739178,9078.758487,8827.559224,8700.476943,8804.333333,9032.64112,9178.384063,9331.899643,9286.002983,9413.531498,9327.501845,9337.313855,9676.741541,9686.578218,9539.244862,9398.390202,8937.494902,8908.021171,9031.238688
Alabama,,,,,,,,,9500,10000,10400,10700,10900,11050,11700,12400,13100,13800,14100,14400,14700,15000,15450,15450,15900,15900,15900,15900,15900,15900,,,,,,,,,14774.68176,15106.24602,15358.1109,15558.78466,15507.11465,15209.27904,15658.37888,16336.91384,16874.57989,17315.16464,17111.82642,16929.78571,16803.8791,16512.79824,17068.90956,16793.45054,16753.74346,16414.06265,16177.10693,15918.87292,15900,,,,,,,,,8745.734908,8942.001275,9091.090343,9209.877301,9179.291717,9002.990708,9268.831169,9670.483602,9988.75,10249.55003,10129.18587,10021.42857,9946.899326,9774.596731,10103.78163,9940.726235,9917.222002,9716.151119,9575.887396,9423.028183,9411.856533
Arkansas,,,,,,,,,,,,9700,10300,10400,10600,10600,11000,11500,11900,13600,13900,13900,14300,14300,14300,14300,14000,14300,14150,14150,,,,,,,,,,,,14104.69264,14653.512,14314.61556,14186.2236,13965.42635,14169.49457,14429.30386,14441.89606,15989.24206,15889.38228,15301.8597,15798.4082,15543.4526,15067.83217,14762.33307,14243.99353,14316.97376,14150,,,,,,,,,,,,8349.141104,8674.009604,8473.40302,8397.402597,8266.703724,8387.5,8541.291689,8548.74552,9464.68254,9405.571471,9057.792971,9351.720216,9200.801629,8919.262556,8738.42522,8431.598965,8474.798932,8375.960374
Florida,,,,8620,9020,9380,9800,10290,10006.66667,10118.66667,10394.33333,10741.33333,11018.66667,11898.33333,12283,12771.25,14112.25,14344.75,15052.75,15260,15606.25,15819.5,16475,16550,16750,16600,16600,16800,16800,15500,,,,15631.87865,15696.72056,15846.18289,16074.50934,16456.84838,15562.66479,15285.5068,15349.7427,15618.88713,15675.93828,16376.92957,16438.62118,16826.03314,18178.49543,17998.67449,18268.08831,17940.87014,17839.83253,17414.94745,18201.31294,17989.10074,17649.38383,17136.69434,16889.30661,16819.9412,16800,,,,9253.144606,9291.527166,9380,9515.155709,9741.477733,9212.174103,9048.113023,9086.136864,9245.454397,9279.22529,9694.170538,9730.688312,9960.013202,10760.59063,10654.1473,10813.6243,10619.93056,10560.12229,10308.61553,10774.09724,10648.48021,10447.38796,10143.9062,9997.467344,9956.407137,9944.60313
Georgia,,,,,,,,,,,,,,9800,10300,10750,11300,12500,12350,12750,13000,13100,13600,13600,13600,13600,13600,13600,13600,14000,,,,,,,,,,,,,,13488.77236,13784.72671,14163.05031,14555.93533,15684.02594,14988.01818,14989.91443,14860.57335,14421.17713,15025.05955,14782.58429,14330.24598,14039.70139,13837.02228,13616.14288,13600,,,,,,,,,,,,,,7984.552846,8159.74026,8383.685381,8616.25,9284.012705,8872.017409,8873.139881,8796.577635,8536.481145,8893.943702,8750.412738,8482.655298,8310.670139,8190.696137,8059.948635,8050.39301
Louisiana,,,6250,6500,6760,7050,7350,7700,8000,8400,8650,9300,9500,9900,10500,10200,10600,10900,11300,13000,12000,13500,13625,15000,15000,15050,15050,14300,14300,15000,,,11946.42137,11787.3795,11763.83935,11909.97755,12055.88201,12314.64845,12441.83727,12689.24665,12773.8134,13523.05583,13515.37515,13626.41289,14052.3913,13438.42913,13654.24022,13676.47062,13713.73323,15283.83433,13717.45233,14861.51842,15052.67914,16304.32091,15805.41836,15536.58131,15312.29304,14316.97376,14300,,,7071.572581,6977.429227,6963.49486,7050,7136.366782,7289.541161,7364.829396,7511.281071,7561.339564,8004.846626,8000.30012,8066.027875,8318.181818,7954.75264,8082.5,8095.659079,8117.716334,9047.123016,8119.917817,8797.137058,8910.292863,9651.19052,9355.869814,9196.734235,9063.968887,8474.798932,8464.751474
Mississippi,,,,7700,8000,8310,8650,8910,9190,9470,9940,10240,10540,10960,11740,12100,12560,12500,13060,13430,13490,14390,14750,15130,15500,15960,14960,14690,15000,15000,,,,13963.51109,13921.70338,14038.56928,14188.21488,14249.80749,14292.56056,14305.61498,14678.80984,14889.90233,14994.95306,15085.40256,15711.9118,15941.66593,16178.98652,15684.02594,15849.67752,15789.37654,15420.70266,15841.27778,16295.56091,16445.62502,16332.26564,16476.00251,15220.72451,14707.43668,15000,,,,8265.570008,8240.82232,8310,8398.581315,8435.040486,8460.347769,8468.075207,8688.984424,8813.93865,8876.122449,8929.663182,9300.519481,9436.520289,9577,9284.012705,9382.068612,9346.374008,9128.140946,9377.096464,9646.005118,9734.834171,9667.732141,9752.81584,9009.765751,8705.929812,8879.109937
North Carolina,,,,,,,9600,10240,10780,11100,11540,12000,9500,9500,9800,10000,10300,11000,11300,11800,12400,13200,14000,14000,14000,14000,14000,14400,15000,15000,,,,,,,15746.45813,16376.88313,16765.37572,16767.93308,17041.59614,17449.10429,13515.37515,13075.85075,13115.56522,13174.93052,13267.79946,13801.94283,13713.73323,13873.01885,14174.70074,14531.26245,15466.97306,15217.36618,14751.7238,14452.63378,14243.99353,14417.09246,15000,,,,,,,9320.968858,9694.14305,9924.107612,9925.621415,10087.61371,10328.83436,8000.30012,7740.127758,7763.636364,7798.777098,7853.75,8169.931181,8117.716334,8212.003968,8390.581744,8601.645123,9155.530281,9007.777819,8732.145159,8555.101614,8431.598965,8534.06326,8879.109937
Puerto Rico,,,,6000,6000,8850,8850,9200,9400,9575,12000,12300,12300,12500,12500,13100,13100,14000,13500,13725,14250,14750,15300,15600,16500,17000,15900,17000,17700,18000,,,,10880.658,10441.27753,14950.82288,14516.26609,14713.60594,14619.15879,14464.23056,17720.8972,17885.3319,17498.85414,17205.06678,16729.03727,17259.15898,16874.57989,17566.10905,16383.66359,16136.20201,16289.47464,16237.58494,16903.19199,16956.49374,17385.96019,17549.62673,16177.10693,17020.1786,17700,,,,6440.703902,6180.61674,8850,8592.768166,8709.581646,8653.674541,8561.966221,10489.71963,10587.05521,10358.28331,10184.37863,9902.597403,10216.398,9988.75,10398.09423,9698.156682,9551.674107,9642.402408,9611.686786,10005.68666,10037.23814,10291.45679,10388.33767,9575.887396,10074.93579,10477.34973
South Carolina,,,,,,,7500,8000,8400,8800,9000,9400,9800,10100,10600,11000,11400,12200,12800,13400,14200,14630,15070,15520,15990,15990,14390,14820,15120,15120,,,,,,,12301.92042,12794.43995,13063.92913,13293.49649,13290.6729,13668.46503,13942.17647,13901.69396,14186.2236,14492.42357,14684.74891,15307.60932,15534.1403,15754.10615,16232.31858,16105.48255,16649.09172,16869.53737,16848.57597,16506.97244,14640.79049,14837.59099,15120,,,,,,,7282.00692,7573.549258,7733.070866,7868.961122,7867.28972,8090.920245,8252.941176,8228.977933,8397.402597,8578.654808,8692.5,9061.1964,9195.289299,9325.496032,9608.569417,9533.490012,9855.274382,9985.765125,9973.357221,9771.148201,8666.479221,8782.973439,8950.142817
Tennessee,,,,,,,,,,,,,,,,12900,12900,12900,13900,13900,14300,15000,15400,15400,15400,15400,14000,14500,15000,15000,,,,,,,,,,,,,,,,16995.66037,16616.95272,16185.91477,16869.10548,16341.94593,16346.63069,16512.79824,17013.67037,16739.1028,16226.89618,15897.89716,14243.99353,14517.21116,15000,,,,,,,,,,,,,,,,10060.42246,9836.25,9581.101112,9985.509473,9673.462302,9676.235399,9774.596731,10071.08331,9908.5556,9605.359675,9410.611776,8431.598965,8593.327589,8879.109937
Northeast Region,,,,,,,,,,,,,10468.36364,10849.54545,11299.54545,11570,11967.72727,12147.27273,12477.72727,12905.45455,13388.63636,13772.72727,14308.90909,14545,14821.90909,14965.45455,15166.36364,15215.45455,15416.36364,15416.36364,,,,,,,,,,,,,14893.03808,14933.37233,15122.44136,15243.39461,15416.05878,15241.45124,15143.0286,15172.67917,15304.83175,15161.75111,15808.25082,15809.75651,15617.76494,15449.30242,15430.68468,15233.51493,15416.36364,,,,,,,,,,,,,8815.794827,8839.670309,8951.587957,9023.185103,9125.392045,9022.034747,8963.77438,8981.325758,9059.552246,8974.856999,9357.546463,9358.437741,9244.790123,9145.07031,9134.04971,9017.336918,9125.572504
Connecticut,,,,,,,,,,,,,8600,8850,9250,9600,9880,10000,10400,11100,11800,12690,13650,14300,15000,15000,15000,15000,15000,15000,,,,,,,,,,,,,12234.97119,12181.18728,12379.48758,12647.9333,12726.78239,12547.22075,12621.48899,13050.04315,13488.82812,13969.82731,15080.29874,15543.4526,15805.41836,15484.96476,15261.42164,15017.80464,15000,,,,,,,,,,,,,7242.376951,7210.54007,7327.922078,7486.826014,7533.5,7427.210164,7471.172555,7724.85119,7984.585853,8269.308835,8926.642024,9200.801629,9355.869814,9166.180301,9033.856034,8889.64923,8879.109937
